word,definition
Abandon,To give up completely or leave behind
Abate,To reduce in intensity or amount
Ability,The capacity or skill to do something
Abjure,To formally renounce or reject a belief or claim
Abridge,To shorten or condense
Abrupt,Sudden and unexpected
Abscond,To leave secretly and hide oneself
Absorb,To take in or soak up
Abstain,To refrain from doing something
Abstract,Theoretical rather than concrete; to summarize
Abstruse,Difficult to understand; obscure
Abysmal,Extremely bad or appalling
Academic,Related to education or scholarship; theoretical
Accept,To receive or agree to something
Acceptable,Satisfactory or adequate
Accessible,Easy to approach or obtain
Accidental,Happening by chance; unintentional
Accommodate,To provide space or adapt to suit
Accompany,To go along with
Accomplish,To complete successfully
Accuracy,The quality of being correct or precise
Accurate,Correct and precise
Acerbic,Sharp and harsh in tone or manner
Achieve,To successfully reach a goal
Acknowledge,To recognize or admit the existence of something
Acquiesce,To accept reluctantly but without protest
Acquire,To obtain or gain possession of
Acquired,Obtained or learned
Action,The process of doing something
Active,Engaged in activity; energetic
Actual,Real or existing in fact
Adapt,To adjust to new conditions
Address,To deal with or speak to
Adept,Highly skilled or proficient
Adequate,Sufficient for a specific requirement
Adhere,To stick firmly to; to follow closely
Adjust,To alter or modify slightly
Admire,To regard with respect or approval
Admonish,To warn or reprimand gently
Adulation,Excessive admiration or praise
Advance,To move forward or make progress
Advantage,A favorable circumstance or benefit
Advantageous,Providing a benefit or favorable position
Advent,The arrival of something important
Adversarial,Involving conflict or opposition
Advice,Guidance or recommendations offered
Advise,To give guidance or recommendations
Advocate,To publicly support or recommend
Aesthetic,Concerned with beauty or artistic taste
Affectation,Artificial behavior designed to impress
Affluent,Wealthy or having abundant resources
Aggrandize,To increase power or reputation often excessively
Aggravate,To make worse or more severe
Aggressive,Forceful or attacking in nature
Agree,To have the same opinion or come to consensus
Agriculture,The practice of farming and cultivation
Alacrity,Cheerful readiness or eagerness
Allow,To permit or give permission
Allude,To refer to indirectly
Aloof,Distant and detached; unfriendly
Alternative,Another option or choice
Ambiguity,Uncertainty or vagueness in meaning
Ambiguous,Open to multiple interpretations; unclear
Ambivalence,Having mixed feelings about something
Ambivalent,Having conflicting feelings simultaneously
Ameliorate,To make better or improve
Amount,A quantity of something
Amplify,To increase in size or intensity
Amusing,Entertaining or causing laughter
Anachronistic,Belonging to a different time period; outdated
Analogous,Comparable or similar in certain respects
Analyze,To examine in detail
Ancient,Very old; from the distant past
Animal,A living organism that feeds on organic matter
Animate,To bring to life or make lively
Animosity,Strong hostility or hatred
Annotate,To add explanatory notes
Announce,To make a public declaration
Annual,Occurring once a year
Anomaly,Something that deviates from what is normal
Answer,A response to a question or solution to a problem
Antagonistic,Showing opposition or hostility
Antagonize,To provoke hostility or anger
Antecedent,Something that comes before; a precursor
Anticipate,To expect or predict
Antipathy,A strong feeling of dislike
Antipodal,Diametrically opposite
Antithesis,The direct opposite
Apathetic,Showing no interest or concern
Apex,The highest point or peak
Apocryphal,Of doubtful authenticity
Apotheosis,The highest or perfect example of something
Apparent,Clearly visible or understood; seeming
Appeal,To make a request or be attractive
Appear,To become visible or seem
Apply,To put to use or make a request
Appreciate,To recognize value or be grateful
Apprehensive,Anxious or fearful about the future
Approach,To come near or a method of dealing with something
Appropriate,Suitable for a particular purpose
Approximate,Close to the actual but not exact
Arbitrary,Based on random choice rather than reason
Arcane,Mysterious or known only to few
Archaic,Very old or outdated
Architecture,The art and science of building design
Arduous,Difficult and requiring much effort
Area,A region or extent of space
Argue,To present reasons for or against something
Arrange,To organize or put in order
Arrive,To reach a destination
Article,A piece of writing or an item
Articulate,To express clearly or well-spoken
Artless,Without pretense; natural and simple
Ascetic,Characterized by severe self-discipline
Asperity,Harshness of tone or manner
Assemble,To gather together or construct
Assertion,A confident statement of fact or belief
Assiduous,Showing great care and perseverance
Assist,To help or support
Associate,To connect or link together
Assume,To suppose without proof
Assure,To make certain or promise confidently
Atmosphere,The mood or air surrounding the Earth
Attach,To fasten or join
Attempt,To try or make an effort
Attention,Notice or focus on something
Austere,Severe or strict in manner; simple
Authority,The power or right to give orders
Automatic,Operating without conscious thought or effort
Autonomous,Independent and self-governing
Available,Able to be used or obtained
Avarice,Extreme greed for wealth
Average,The typical amount or ordinary
Avid,Enthusiastic or eager
Avoid,To keep away from or prevent
Award,To give as a prize or honor
Background,The circumstances or setting behind something
Balance,A state of equilibrium
Basic,Fundamental or essential
Beatific,Displaying blissful happiness
Become,To begin to be or grow into
Begin,To start or commence
Behavior,The way one acts or conducts oneself
Believe,To accept as true or have faith in
Bellicose,Aggressive and eager to fight
Beneficial,Producing good or helpful results
